Nama Mobil,Harga,Tahun,Usia,Bahan Bakar,Transmisi,Kapasitas Mesin,harga_angka
Daihatsu All New Xenia X Mpv 1300 Cvt (2023),Rp 211.000.000,2023,2,Bensin,Matic,1300 cc,211000000
Honda Jazz Rs (2020),Rp 230.000.000,2020,5,Bensin,Matic,1500 cc,230000000
Toyota Kijang Innova Zenix V Cvt (2022),Rp 382.000.000,2022,3,Hybrid,Matic,2000 cc,382000000
Toyota Innova Venturer  Hitam (2019),Rp 307.000.000,2019,6,Bensin,Matic,2000 cc,307000000
Honda Jazz (2016),Rp 185.000.000,2016,9,Bensin,Matic,1500 cc,185000000
Honda Brio Satya E  Abu (2019),Rp 139.000.000,2019,6,Bensin,Manual,1200 cc,139000000
Toyota Innova Zenix Q Hybrid At (2024),Rp 541.000.000,2024,1,Hybrid,Matic,2000 cc,541000000
Toyota Avanza G Matic (2019),Rp 165.000.000,2019,6,Bensin,Matic,1300 cc,165000000
Toyota Kijang Innova G Mpv Luxury  Cc Mt 2021 (2021),Rp 305.000.000,2021,4,Bensin,Matic,2000 cc,305000000
Daihatsu Sigra Type D Minor Change 1000 Mt (2022),Rp 120.000.000,2022,3,Bensin,Manual,1000 cc,120000000
Honda Brio Satya E (2021),Rp 136.000.000,2021,4,Bensin,Manual,1200 cc,136000000
Toyota Avanza Veloz (2023),Rp 220.000.000,2023,2,Bensin,Manual,1500 cc,220000000
Toyota Avanza G Mt (2015),Rp 125.000.000,2015,10,Bensin,Manual,1300 cc,125000000
Suzuki Ertiga Gx Hybrid (2023),Rp 211.000.000,2023,2,Hybrid,Matic,1500 cc,211000000
Suzuki Ertiga Gx Hybrid AT (2022),Rp 194.000.000,2022,3,Hybrid,Matic,1500 cc,194000000
Honda Brio Satya E Cvt (2021),Rp 148.000.000,2021,4,Bensin,Matic,1200 cc,148000000
Toyota Zenix V At (2022),Rp 375.000.000,2022,3,Hybrid,Matic,2000 cc,375000000
Toyota Avanza E Mpv  Hitam (2019),Rp 140.000.000,2019,6,Bensin,Matic,1300 cc,140000000
Toyota Kijang Innova Zenix G At (2024),Rp 345.000.000,2024,1,Hybrid,Matic,2000 cc,345000000
Toyota Calya G Mt  Silver (2024),Rp 141.000.000,2024,1,Bensin,Manual,1200 cc,141000000
Daihatsu Ayla  R (2022),Rp 131.000.000,2022,3,Bensin,Matic,1200 cc,131000000
Toyota New Agya Type G Trd Sportivo 1200 Mt (2019),Rp 132.000.000,2019,6,Bensin,Manual,1200 cc,132000000
Toyota Innova Venturer Wagon Km 36 Rbuan (2022),Rp 495.000.000,2022,3,Bensin,Matic,2000 cc,495000000
Toyota Kijang Innova Zenix (2023),Rp 525.000.000,2023,2,Hybrid,Matic,2000 cc,525000000
Mazda 2 Gt At (2022),Rp 228.000.000,2022,3,Bensin,Matic,1500 cc,228000000
Toyota Veloz Q Tss (2022),Rp 243.000.000,2022,3,Bensin,Matic,1500 cc,243000000
Honda All New Brv Type Prestige Sensing 1500 Cvt (2023),Rp 255.000.000,2023,2,Bensin,Matic,1500 cc,255000000
Mazda Biante At (2015),Rp 130.000.000,2015,10,Bensin,Matic,2000 cc,130000000
Suzuki Ignis (2023),Rp 167.000.000,2023,2,Bensin,Matic,1200 cc,167000000
Honda Jazz Rs Silver (2016),Rp 184.000.000,2016,9,Bensin,Matic,1500 cc,184000000
Toyota Avanza G Mt (2019),Rp 162.000.000,2019,6,Bensin,Manual,1300 cc,162000000
Hrv Prestige (2015),Rp 205.000.000,2015,10,Bensin,Matic,1800 cc,205000000
Toyota Innova V Zenix Bensin At (2022),Rp 398.000.000,2022,3,Hybrid,Matic,2000 cc,398000000
Honda Hrv E 15 Matic  2017 Grey Antik Km Rendah (2016),Rp 177.850.000,2016,9,Bensin,Matic,1500 cc,177850000
Suzuki New Baleno 1400 At (2021),Rp 185.000.000,2021,4,Bensin,Matic,1400 cc,185000000
Toyota Avanza E Mpv (2020),Rp 153.000.000,2020,5,Bensin,Matic,1300 cc,153000000
Honda Brio Satya E At (2021),Rp 148.000.000,2021,4,Bensin,Matic,1200 cc,148000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 223.000.000,2022,3,Bensin,Matic,1500 cc,223000000
Toyota Avanza Veloz Q Cvt At (2022),Rp 232.000.000,2022,3,Bensin,Matic,1500 cc,232000000
Toyota Avanza Veloz Putih (2021),Rp 193.000.000,2021,4,Bensin,Matic,1500 cc,193000000
Toyota Kijang Innova Zenix (2023),Rp 390.000.000,2023,2,Hybrid,Matic,2000 cc,390000000
Toyota Fortuner Vrz Gr Sport (2022),Rp 494.000.000,2022,3,Diesel,Matic,2800 cc,494000000
Honda Brio Rs Hatchback (2017),Rp 126.000.000,2017,8,Bensin,Matic,1200 cc,126000000
Toyota Innova Mt Diesel (2020),Rp 348.000.000,2020,5,Diesel,Manual,2400 cc,348000000
Mitsubishi Pajero Dakkar 4x2 At (2015),Rp 360.000.000,2015,10,Diesel,Matic,2400 cc,360000000
Honda Jazz Rs (2015),Rp 147.000.000,2015,10,Bensin,Matic,1500 cc,147000000
Honda Brio E Cvt At (2022),Rp 157.000.000,2022,3,Bensin,Matic,1200 cc,157000000
Honda Brio Rs  Silver (2021),Rp 172.000.000,2021,4,Bensin,Matic,1200 cc,172000000
Toyota Kijang Innova Venturer Solar At (2019),Rp 420.000.000,2019,6,Diesel,Matic,2400 cc,420000000
Mitsubishi Xpander Ultimate Mpv (2019),Rp 205.000.000,2019,6,Bensin,Matic,1500 cc,205000000
Honda Brio Rs (2017),Rp 124.000.000,2017,8,Bensin,Manual,1200 cc,124000000
Honda Jazz Rs  Putih (2019),Rp 217.000.000,2019,6,Bensin,Matic,1500 cc,217000000
Avanza Veloz Matic (2017),Rp 156.000.000,2017,8,Bensin,Matic,1500 cc,156000000
Daihatsu New Ayla Type D Plus Minor Change 1000 Mt (2018),Rp 101.000.000,2018,7,Bensin,Manual,1000 cc,101000000
Toyota Avanza Veloz Q (2023),Rp 243.000.000,2023,2,Bensin,Matic,1500 cc,243000000
Daihatsu Sirion At (2018),Rp 142.000.000,2018,7,Bensin,Matic,1300 cc,142000000
Honda Crv Turbo Prestige At (2020),Rp 375.000.000,2020,5,Bensin,Matic,1500 cc,375000000
Toyota Avanza G Mpv (2021),Rp 165.000.000,2021,4,Bensin,Matic,1300 cc,165000000
Toyota Kijang Innova Venturer Solar At (2021),Rp 468.000.000,2021,4,Diesel,Matic,2400 cc,468000000
Toyota Kijang Innova Zenix G Cvt Bensin At (2024),Rp 378.000.000,2024,1,Hybrid,Matic,2000 cc,378000000
Mitsubishi Xpander Exceed At  Silver (2019),Rp 185.000.000,2019,6,Bensin,Matic,1500 cc,185000000
Toyota New Avanza G Mpv Facelift 1300 Mt (2019),Rp 179.000.000,2019,6,Bensin,Manual,1300 cc,179000000
Honda Jazz Rs At (2020),Rp 225.000.000,2020,5,Bensin,Matic,1500 cc,225000000
Toyota Kijang Innova V Bensin At (2022),Rp 385.000.000,2022,3,Bensin,Matic,2000 cc,385000000
